l,m,C,S
30,12,-6.490233296618648e-24,5.522183456688235e-24
30,13,8.957347898386887e-26,3.341058023101428e-25
30,14,1.5586272701513205e-26,-6.2656673462911545e-27
30,15,-3.9293316413244006e-28,1.9004430296684939e-28
30,16,1.0275272711286678e-29,-1.1826483833033952e-29
30,17,5.578072603523021e-31,6.010256802524057e-31
30,18,2.046619807198697e-32,2.416031999401999e-33
30,19,-4.527316877864595e-34,1.600393714862424e-34
30,20,-1.8569849785368565e-35,-3.163684820918321e-36
30,21,-1.3574272521673832e-36,-1.2285708191191853e-37
30,22,-3.985115273651097e-39,9.68479500440837e-38
30,23,-5.2753211626412284e-39,1.7024535978602893e-39
30,24,8.148750143778327e-41,2.8395035179573177e-41
30,25,5.298888763726387e-42,8.446403822789518e-42
30,26,1.2003120027509501e-43,-7.513396880575491e-43
30,27,-1.6753124805090033e-44,4.548795257731596e-44
30,28,-1.3535642733860896e-45,-6.287246269341858e-45
30,29,1.6021969839001485e-46,-1.3273101725876938e-46
30,30,-4.0367278328091205e-47,1.156166930584162e-46
31,0,4.3086251019953484e-06,0.0
31,1,4.59894290556097e-09,-1.4977939773542785e-07
31,2,2.8308399748679576e-10,1.4366802488395046e-09
31,3,-2.2483270091588685e-11,-1.9545419696711344e-10
31,4,4.995099207197227e-12,2.327002883505695e-12
31,5,-1.4702428946410072e-13,-6.589004201752573e-14
31,6,2.413331140454894e-15,1.249685120398688e-15
31,7,1.3885037382310545e-16,-8.345332057322505e-17
31,8,6.275280114984835e-18,-3.3418316761620177e-18
31,9,-1.7212922984272932e-19,-5.398562990596345e-20
31,10,1.0944995955406775e-20,-3.316792902619453e-21
31,11,6.349126238357914e-23,2.324031511136249e-22
31,12,-2.3623359286296883e-24,4.7454474057316115e-24
31,13,1.8880040788529792e-25,2.0044080615543203e-25
31,14,1.0480784075351072e-27,4.128125378950185e-28
